row_type,group,group_label,n_requested,n_evaluated,n_skipped,mean_fake_prob,min_fake_prob,max_fake_prob,std_fake_prob,n_pred_fake,accuracy_all_fake_gt,threshold,face_crop,skip_no_face,resize_if_not_380,model_path,path,filename,logit,prob_fake,pred_fake,pred_label,face_detected,status
summary,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",50,50,0,0.915662,0.684897,0.987277,0.072640,50,1.000000,0.5,True,True,True,D:\forsen\training_output\best_model.pth,,,,,,,,
summary,tpdne_test_fake,ThisPersonDoesNotExist (test_images/fake),24,24,0,0.137049,0.032406,0.254416,0.059349,0,0.000000,0.5,True,True,True,D:\forsen\training_output\best_model.pth,,,,,,,,
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_2643_cbaf23acb2.jpg,gan_fake_2643_cbaf23acb2.jpg,1.382812,0.799442,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_136_3bfdbc4bcb.jpg,gan_fake_136_3bfdbc4bcb.jpg,3.265625,0.963231,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_5057_1b3d151bcc.jpg,gan_fake_5057_1b3d151bcc.jpg,3.347656,0.966028,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_4612_7e37f3d930.jpg,gan_fake_4612_7e37f3d930.jpg,2.638672,0.933309,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_4293_79458bf3e0.jpg,gan_fake_4293_79458bf3e0.jpg,2.822266,0.943867,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_3059_89e714c824.jpg,gan_fake_3059_89e714c824.jpg,1.572266,0.828106,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_2512_00a66eec9f.jpg,gan_fake_2512_00a66eec9f.jpg,2.851562,0.945399,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_9044_2f00e45771.jpg,gan_fake_9044_2f00e45771.jpg,4.070312,0.983215,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_2283_dba69f4098.jpg,gan_fake_2283_dba69f4098.jpg,2.322266,0.910704,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_9710_9bcecc9328.jpg,gan_fake_9710_9bcecc9328.jpg,4.351562,0.987277,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_7222_0c589625c4.jpg,gan_fake_7222_0c589625c4.jpg,1.706055,0.846324,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_146_e829039217.jpg,gan_fake_146_e829039217.jpg,2.083984,0.889337,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_1440_40c1c1fdb8.jpg,gan_fake_1440_40c1c1fdb8.jpg,3.808594,0.978302,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_2383_7e72a25f95.jpg,gan_fake_2383_7e72a25f95.jpg,0.832031,0.696784,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_4225_6589098e31.jpg,gan_fake_4225_6589098e31.jpg,3.148438,0.958847,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_4431_a4c370d021.jpg,gan_fake_4431_a4c370d021.jpg,2.193359,0.899652,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_8453_e906f83d8a.jpg,gan_fake_8453_e906f83d8a.jpg,0.776367,0.684897,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_9881_ff201b39ec.jpg,gan_fake_9881_ff201b39ec.jpg,4.167969,0.984752,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_1392_d3b225c949.jpg,gan_fake_1392_d3b225c949.jpg,2.949219,0.950227,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_9279_304471c080.jpg,gan_fake_9279_304471c080.jpg,2.500000,0.924142,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_3933_4a9fc6c71c.jpg,gan_fake_3933_4a9fc6c71c.jpg,1.367188,0.796925,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_9038_21382c2b84.jpg,gan_fake_9038_21382c2b84.jpg,2.164062,0.896976,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_7188_4c144bf83a.jpg,gan_fake_7188_4c144bf83a.jpg,3.441406,0.968974,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_4251_414e6b6313.jpg,gan_fake_4251_414e6b6313.jpg,2.917969,0.948728,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_7625_26b10b215b.jpg,gan_fake_7625_26b10b215b.jpg,2.462891,0.921499,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_9693_7ee7d9b832.jpg,gan_fake_9693_7ee7d9b832.jpg,3.750000,0.977023,1,fake,True,ok
image,aligned_gan_fake,"GAN-like fakes (final_dataset_aligned/fake, gan_fake_*)",,,,,,,,,,,,,,,D:\forsen\final_dataset_aligned\fake\gan_fake_5102_8f870adb06.jpg,gan_fake_5102_8f870adb06.jpg,1.733398,0.849847,1,fake,True,ok
